b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.003,0.001,3.0,10.0,1000,0,0.0,0.4724881024926187,0.0,0.22464778188755471
0.11,0.0,0.003,0.001,3.0,100.0,1000,0,0.0,0.02114391431777583,0.0,0.00042921323640397356
0.11,0.0,0.003,0.001,3.0,1000.0,1000,0,0.0,0.0003170459870280768,0.0,1.0107374001105901e-07
0.11,0.0,0.003,0.1,1.1,10.0,1000,0,0.0,0.32887974341020004,0.0,0.10753923312934144
0.11,0.0,0.003,0.1,1.1,100.0,1000,0,0.0,0.017102131040558195,0.0,0.00030254523515798546
0.11,0.0,0.003,0.1,1.1,1000.0,1000,0,0.0,0.0002959558776904947,0.0,8.954956896406863e-08
0.11,0.0,0.003,0.1,1.5,10.0,1000,0,0.0,0.32368372954270785,0.0,0.1070700953880198
0.11,0.0,0.003,0.1,1.5,100.0,1000,0,0.0,0.017494433318788194,0.0,0.0003020090666333722
0.11,0.0,0.003,0.1,1.5,1000.0,1000,0,0.0,0.00028691968871734233,0.0,8.66323555755264e-08
0.11,0.0,0.003,0.1,2.0,10.0,1000,0,0.0,0.3181264420301794,0.0,0.09061433662611525
0.11,0.0,0.003,0.1,2.0,100.0,1000,0,0.0,0.0166870637739885,0.0,0.0002806487614911797
0.11,0.0,0.003,0.1,2.0,1000.0,1000,0,0.0,0.0003145881000557906,0.0,9.846280967425622e-08
0.11,0.0,0.003,0.1,2.5,10.0,1000,0,0.0,0.32479471436916785,0.0,0.09620245504464178
0.11,0.0,0.003,0.1,2.5,100.0,1000,0,0.0,0.018278069092051482,0.0,0.0002858810907900893
0.11,0.0,0.003,0.1,2.5,1000.0,1000,0,0.0,0.00030235013121767437,0.0,8.58093859400582e-08
0.11,0.0,0.003,0.1,3.0,10.0,1000,0,0.0,0.31178680263691666,0.0,0.10230573207516523
0.11,0.0,0.003,0.1,3.0,100.0,1000,0,0.0,0.017289884846817073,0.0,0.0002786941950654796
0.11,0.0,0.003,0.1,3.0,1000.0,1000,0,0.0,0.0003025140222129967,0.0,9.033162893091875e-08
0.11,0.0,0.003,1.0,1.1,10.0,1000,0,0.0,0.0811429632707446,0.0,0.006003223331582932
0.11,0.0,0.003,1.0,1.1,100.0,1000,0,0.0,0.0065858314421884095,0.0,4.163148538486652e-05
0.11,0.0,0.003,1.0,1.1,1000.0,1000,0,0.0,0.0002263028167774519,0.0,5.3125315125860446e-08
0.11,0.0,0.003,1.0,1.5,10.0,1000,0,0.0,0.08056992827881677,0.0,0.006320900302374556
0.11,0.0,0.003,1.0,1.5,100.0,1000,0,0.0,0.006431952470283122,0.0,4.316574021478993e-05
0.11,0.0,0.003,1.0,1.5,1000.0,1000,0,0.0,0.00023886513052876252,0.0,5.784444478487702e-08
0.11,0.0,0.003,1.0,2.0,10.0,1000,0,0.0,0.0832518128088374,0.0,0.006722617757732309
0.11,0.0,0.003,1.0,2.0,100.0,1000,0,0.0,0.00682105014900332,0.0,4.884290496352643e-05
0.11,0.0,0.003,1.0,2.0,1000.0,1000,0,0.0,0.0002511051653198249,0.0,6.938749920405759e-08
0.11,0.0,0.003,1.0,2.5,10.0,1000,0,0.0,0.086826420333972,0.0,0.007425509389368353
0.11,0.0,0.003,1.0,2.5,100.0,1000,0,0.0,0.006505869416191923,0.0,4.4302099909707694e-05
0.11,0.0,0.003,1.0,2.5,1000.0,1000,0,0.0,0.00023145892046851318,0.0,5.7809456325658914e-08
0.11,0.0,0.003,1.0,3.0,10.0,1000,0,0.0,0.08335469668506525,0.0,0.006260712882327916
