b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.15,0.0,0.001,10.0,733.0,267.0,1.0,16.135628844380467,0.0,115.28896959387397
0.15,0.0,0.001,100.0,864.0,136.0,1.0,15.22424631551946,0.0,126.35830632703005
0.15,0.0,0.001,1000.0,975.0,25.0,1.0,17.373251588648383,0.0,98.96559867612899
0.15,1e-05,0.0003,10.0,669.0,331.0,1.0,45.05796994533128,0.0,560.5774278493199
0.15,1e-05,0.0003,100.0,762.0,238.0,1.0,48.67792870772085,0.0,511.9858973051293
0.15,1e-05,0.0003,1000.0,930.0,70.0,1.0,50.65091009716277,0.0,474.192428725363
0.15,1e-05,0.0001,10.0,658.0,342.0,0.9999877271538975,68.38756525215533,2.560612298486726e-08,596.6711058257251
0.15,1e-05,0.0001,100.0,704.0,296.0,0.9999931053502482,70.95069960184918,1.4023177583969031e-08,657.9289714086602
0.15,1e-05,0.0001,1000.0,851.0,149.0,0.9999869933926435,81.44098006674093,2.5037431569214667e-08,692.0465455605305
0.15,1e-05,0.003,10.0,956.0,44.0,1.0,3.91072890497882,0.0,14.895150118637513
0.15,1e-05,0.003,100.0,990.0,10.0,1.0,2.5456713161173674,0.0,6.015257229729782
0.15,1e-05,0.003,1000.0,1000.0,0.0,0.0,1.293463762903037,0.0,2.089811752978017
0.15,1e-05,0.001,10.0,732.0,268.0,1.0,15.177348957008194,0.0,128.2379153000009
0.15,1e-05,0.001,100.0,852.0,148.0,1.0,15.466421654141783,0.0,100.21296422234407
0.15,1e-05,0.001,1000.0,986.0,14.0,1.0,17.348086832420982,0.0,223.41632621909258
0.15,0.0001,0.0003,10.0,687.0,313.0,0.9997573619353083,43.56269536896646,2.6428254111342893e-06,524.6398614700627
0.15,0.0001,0.0003,100.0,749.0,251.0,0.9998555081006711,49.32640298329047,8.600250788108245e-07,706.5966738899982
0.15,0.0001,0.0003,1000.0,912.0,88.0,0.9998705645835858,64.95906184271304,7.364681801118597e-07,1417.1451501019076
0.15,0.0001,0.0001,10.0,666.0,334.0,0.9998484366517676,69.28572298529686,4.838269973682453e-07,623.362816454287
0.15,0.0001,0.0001,100.0,716.0,284.0,0.9998146349071895,69.71058191891116,6.963680252700678e-07,652.5225574490651
0.15,0.0001,0.0001,1000.0,848.0,152.0,0.9998444700149607,83.39810553387817,9.803809354723006e-07,700.8122642715756
0.15,0.0001,0.003,10.0,955.0,45.0,1.0,3.8688877375268147,0.0,14.253234278068826
0.15,0.0001,0.003,100.0,985.0,15.0,1.0,2.808196591111735,0.0,9.162781194191787
0.15,0.0001,0.003,1000.0,1000.0,0.0,0.0,1.7183702295515868,0.0,5.2495676765407735
0.15,0.0001,0.001,10.0,733.0,267.0,0.9996473563889295,16.439138450957852,8.689363904909622e-06,160.0345678032332
0.15,0.0001,0.001,100.0,869.0,131.0,1.0,15.50705795389647,0.0,147.41202668737117
0.15,0.0001,0.001,1000.0,970.0,30.0,1.0,17.625173091674792,0.0,330.1354722724222
0.15,0.001,0.0003,10.0,688.0,312.0,0.9978732615166137,44.4565205647789,2.1829224472833327e-05,627.5131675071121
0.15,0.001,0.0003,100.0,779.0,221.0,0.9983077946878708,47.628696870784175,1.7151933317984308e-05,692.4708966142651
0.15,0.001,0.0003,1000.0,825.0,175.0,0.9979386872751372,68.05834957323523,1.8252837106921173e-05,1292.4150674432497
0.15,0.001,0.0001,10.0,644.0,356.0,0.9977280975122689,69.35751810383218,1.0377713123510839e-05,702.8142223021666
0.15,0.001,0.0001,100.0,636.0,364.0,0.998300069382555,75.98136071919282,7.566449704024524e-06,949.4340047109946
0.15,0.001,0.0001,1000.0,625.0,375.0,0.9979147191674305,97.08965150270906,9.41954660054995e-06,1804.0577555370232
0.15,0.001,0.003,10.0,967.0,33.0,1.0,4.135335874520039,0.0,22.731174133792294
0.15,0.001,0.003,100.0,986.0,14.0,1.0,2.9589307830189293,0.0,15.299226650790821
0.15,0.001,0.003,1000.0,998.0,2.0,1.0,4.7391615239144,0.0,166.44202120831994
0.15,0.001,0.001,10.0,733.0,267.0,0.9972961892195973,16.095851216837477,0.0001323988546250057,117.93953547588801
0.15,0.001,0.001,100.0,844.0,156.0,0.9979564948933037,18.023247430079532,5.152539025454376e-05,281.05652137764866
0.15,0.001,0.001,1000.0,938.0,62.0,0.9973699774708463,28.34735751474741,0.00011144710616987834,676.513730539561
0.2,0.0,0.0003,10.0,513.0,487.0,1.0,35.26582289922473,0.0,170.2413941950844
0.2,0.0,0.0003,100.0,585.0,415.0,1.0,36.7606855473022,0.0,163.75068825913678
0.2,0.0,0.0003,1000.0,859.0,141.0,1.0,44.21686440390925,0.0,186.51081772879712
0.2,0.0,0.0001,10.0,495.0,505.0,1.0,46.92827808079411,0.0,208.16439536847273
0.2,0.0,0.0001,100.0,543.0,457.0,1.0,48.64789131700962,0.0,222.4002031346039
0.2,0.0,0.0001,1000.0,745.0,255.0,1.0,53.88755980688976,0.0,206.38142770672846
0.2,0.0,0.003,10.0,651.0,349.0,1.0,8.770804342885187,0.0,32.99419943813126
0.2,0.0,0.003,100.0,873.0,127.0,1.0,9.020896255394732,0.0,67.1975078161012
0.2,0.0,0.003,1000.0,978.0,22.0,1.0,9.516715361683417,0.0,62.075179525242184
0.2,0.0,0.001,10.0,545.0,455.0,1.0,21.990281162168028,0.0,148.01922783757507
0.2,0.0,0.001,100.0,723.0,277.0,1.0,24.71683120836531,0.0,170.78311667211628
0.2,0.0,0.001,1000.0,952.0,48.0,1.0,26.69269949107615,0.0,170.59179204943038
0.2,1e-05,0.0003,10.0,509.0,491.0,0.9999756981040299,34.8261058839184,1.1184841329501051e-07,166.10498293110908
0.2,1e-05,0.0003,100.0,594.0,406.0,0.999971691916056,37.56699820375409,1.1458877699500147e-07,189.51825276093467
0.2,1e-05,0.0003,1000.0,839.0,161.0,1.0,44.91412089693158,0.0,245.57105368818898
0.2,1e-05,0.0001,10.0,502.0,498.0,0.9999818895574659,46.31603922799022,2.5390382773191064e-08,183.2476427912709
0.2,1e-05,0.0001,100.0,573.0,427.0,0.9999908662870464,47.53333522698857,8.857351662064525e-09,173.26581654330397
0.2,1e-05,0.0001,1000.0,741.0,259.0,0.9999921150939015,53.05307424969199,7.990380342651723e-09,169.20188861521999
0.2,1e-05,0.003,10.0,632.0,368.0,1.0,9.160803445155251,0.0,48.929370207805945
0.2,1e-05,0.003,100.0,859.0,141.0,1.0,9.019488509176165,0.0,44.1001328385848
0.2,1e-05,0.003,1000.0,987.0,13.0,1.0,11.089002522171974,0.0,101.43338140061363
0.2,1e-05,0.001,10.0,558.0,442.0,0.9999780345297193,22.436080674586655,2.1277451113203303e-07,152.3290837916112
0.2,1e-05,0.001,100.0,735.0,265.0,1.0,25.195219833163318,0.0,152.89594890638736
0.2,1e-05,0.001,1000.0,948.0,52.0,1.0,29.641434793790232,0.0,188.4553010257343
