b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0001,0.1,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.1,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.1,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,0.1,10.0,1000,0,0.0,8.569799557485902,0.0,12.79013975782095
0.11,0.0,0.0001,1.0,0.1,100.0,1000,0,0.0,5.229202559911822,0.0,13.457467127134745
0.11,0.0,0.0001,1.0,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,0.5,10.0,1000,0,0.0,9.130096440882896,0.0,30.930114906142325
0.11,0.0,0.0001,1.0,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1.0,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.003,1e-05,0.1,10.0,1000,0,0.0,0.4822360055788931,0.0,0.24946913623077346
0.11,0.0,0.003,1e-05,0.1,100.0,1000,0,0.0,0.019884220425518923,0.0,0.0003550786234825792
0.11,0.0,0.003,1e-05,0.1,1000.0,1000,0,0.0,0.00031463606528234667,0.0,9.865440175023395e-08
0.11,0.0,0.003,1e-05,0.5,10.0,1000,0,0.0,0.4749405872316098,0.0,0.21810898942183068
0.11,0.0,0.003,1e-05,0.5,100.0,1000,0,0.0,0.021446028336772345,0.0,0.00045268694681374557
0.11,0.0,0.003,1e-05,0.5,1000.0,1000,0,0.0,0.000323753929020982,0.0,1.0573946066694464e-07
0.11,0.0,0.003,1e-05,1.0,10.0,1000,0,0.0,0.4868686867865001,0.0,0.22883222234564576
0.11,0.0,0.003,1e-05,1.0,100.0,1000,0,0.0,0.021513932425854386,0.0,0.0004437720387353285
0.11,0.0,0.003,1e-05,1.0,1000.0,1000,0,0.0,0.00031714111030435826,0.0,1.024299105126034e-07
0.11,0.0,0.003,1e-05,1.5,10.0,1000,0,0.0,0.49878697084412393,0.0,0.22131165257582933
0.11,0.0,0.003,1e-05,1.5,100.0,1000,0,0.0,0.020140608704894945,0.0,0.0004073671941468398
0.11,0.0,0.003,1e-05,1.5,1000.0,1000,0,0.0,0.0003158688599902317,0.0,9.920413532210174e-08
0.11,0.0,0.003,1e-05,2.0,10.0,1000,0,0.0,0.4925240472405245,0.0,0.23166704758248458
0.11,0.0,0.003,1e-05,2.0,100.0,1000,0,0.0,0.020631305110237887,0.0,0.00040717105191302304
0.11,0.0,0.003,1e-05,2.0,1000.0,1000,0,0.0,0.000318285732295873,0.0,1.007922262112526e-07
0.11,0.0,0.003,0.001,0.1,10.0,1000,0,0.0,0.47817253326154996,0.0,0.2137655074222886
0.11,0.0,0.003,0.001,0.1,100.0,1000,0,0.0,0.021674732020465663,0.0,0.0004303500127210561
0.11,0.0,0.003,0.001,0.1,1000.0,1000,0,0.0,0.0003178694886961738,0.0,1.0682161700839685e-07
0.11,0.0,0.003,0.001,0.5,10.0,1000,0,0.0,0.465310388626182,0.0,0.21582665386434643
0.11,0.0,0.003,0.001,0.5,100.0,1000,0,0.0,0.020997971773090682,0.0,0.0004389442476284549
0.11,0.0,0.003,0.001,0.5,1000.0,1000,0,0.0,0.00032380932501880786,0.0,1.0806982073777183e-07
0.11,0.0,0.003,0.001,1.0,10.0,1000,0,0.0,0.47726230420886034,0.0,0.23480606723902642
0.11,0.0,0.003,0.001,1.0,100.0,1000,0,0.0,0.021064501236116175,0.0,0.00045729774342493236
0.11,0.0,0.003,0.001,1.0,1000.0,1000,0,0.0,0.0002992584700085519,0.0,7.926386620930042e-08
0.11,0.0,0.003,0.001,1.5,10.0,1000,0,0.0,0.4506431456358243,0.0,0.21021862893521986
0.11,0.0,0.003,0.001,1.5,100.0,1000,0,0.0,0.020374008788470177,0.0,0.0003856885091738529
0.11,0.0,0.003,0.001,1.5,1000.0,1000,0,0.0,0.0003285577944677315,0.0,1.0796017914684417e-07
0.11,0.0,0.003,0.001,2.0,10.0,1000,0,0.0,0.4450160133883042,0.0,0.1966201373964374
0.11,0.0,0.003,0.001,2.0,100.0,1000,0,0.0,0.02063888689599856,0.0,0.00043598246238996336
0.11,0.0,0.003,0.001,2.0,1000.0,1000,0,0.0,0.00034032660194710935,0.0,1.1631912054908474e-07
0.11,0.0,0.003,0.1,0.1,10.0,1000,0,0.0,0.3132842748860326,0.0,0.10123578040418661
0.11,0.0,0.003,0.1,0.1,100.0,1000,0,0.0,0.017335677176884567,0.0,0.0003040179621784664
0.11,0.0,0.003,0.1,0.1,1000.0,1000,0,0.0,0.00030310317906954894,0.0,9.16053895559685e-08
0.11,0.0,0.003,0.1,0.5,10.0,1000,0,0.0,0.3347202675089593,0.0,0.12296550742629896
0.11,0.0,0.003,0.1,0.5,100.0,1000,0,0.0,0.017253297976940515,0.0,0.00031166769619426197
0.11,0.0,0.003,0.1,0.5,1000.0,1000,0,0.0,0.0003129524715136242,0.0,9.725286394926598e-08
0.11,0.0,0.003,0.1,1.0,10.0,1000,0,0.0,0.36552677079040163,0.0,0.12323562327827912
0.11,0.0,0.003,0.1,1.0,100.0,1000,0,0.0,0.017329711498562096,0.0,0.0002882220644710221
0.11,0.0,0.003,0.1,1.0,1000.0,1000,0,0.0,0.00029134908937890363,0.0,9.08011076909205e-08
0.11,0.0,0.003,0.1,1.5,10.0,1000,0,0.0,0.33993176356386084,0.0,0.10883734985723216
0.11,0.0,0.003,0.1,1.5,100.0,1000,0,0.0,0.017235867579803867,0.0,0.00031450110475988134
